退款多久到	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我这个需要发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要开具发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要纸质发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
新用户注册	<p><span style="color: rgb(51,51,51);WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;DISPLAY: inline;WHITE-SPACE: normal;FLOAT: none;LETTER-SPACING: normal;WORD-SPACING: 0.0px;">账户申请成功后，不支持注销账户哦~注册国美账户，请<strong><a href="https://reg.gome.com.cn/register/index/person"><span style="color: rgb(51,102,255);">点击这里</span></a></strong></span><span style="color: rgb(51,51,51);WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;DISPLAY: inline;WHITE-SPACE: normal;FLOAT: none;LETTER-SPACING: normal;WORD-SPACING: 0.0px;">，按提示操<span style="color: rgb(0,0,0);">作即可。如需查看具体操作图示，</span>请<a href="http://help.gome.com.cn/question/5757.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</span></p>
发现东西损坏了	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
电视坏了	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
人为损坏	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
书籍有损坏怎么办	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
手机有损坏怎么办	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
如果用损坏怎么办呢	配送在运输途中会尽量保障商品完好无损，若收货时商品损坏，建议直接拒收；签收后发现破损，请先<a href="http://myhome.gome.com.cn/member/myReturnGoodList?null"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>申请退换货，具体以审核意见为准。
忘记密码	<p>手机或邮箱已验证的情况下，如需找回支付密码，请<strong><a href="http://myhome.gome.com.cn/member/accountSecurity?atc=atc"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>；</p> <p>手机或邮箱未验证的情况下，如需找回支付密码，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><span style="color: rgb(51,102,255);"><strong>点击这里</strong></span></a>联系人工客服为您服务。</p> <p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5136.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
忘记登录密码怎么办	<p>手机或邮箱已验证的情况下，如需找回登录密码，请<a href="http://myhome.gome.com.cn/member/passwordReset"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>；</p><p>手机或邮箱未注册的情况下，如需找回登录密码，请<strong><a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D6c32b2c55218c711d53813962cee7030%26timestamp%3D1483601030423&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=179&subject=%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>联系人工客服为您服务。</p><p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5136.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
登录密码忘记了怎么办	<p>手机或邮箱已验证的情况下，如需找回登录密码，请<a href="http://myhome.gome.com.cn/member/passwordReset"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>；</p><p>手机或邮箱未注册的情况下，如需找回登录密码，请<strong><a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D6c32b2c55218c711d53813962cee7030%26timestamp%3D1483601030423&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=179&subject=%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>联系人工客服为您服务。</p><p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5136.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
开机密码忘记了怎么	<p>手机或邮箱已验证的情况下，如需找回登录密码，请<a href="http://myhome.gome.com.cn/member/passwordReset"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>；</p><p>手机或邮箱未注册的情况下，如需找回登录密码，请<strong><a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D6c32b2c55218c711d53813962cee7030%26timestamp%3D1483601030423&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=179&subject=%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>联系人工客服为您服务。</p><p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5136.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
支付密码忘记了怎么办	<p>手机或邮箱已验证的情况下，如需找回支付密码，请<strong><a href="http://myhome.gome.com.cn/member/accountSecurity?atc=atc"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>；</p><p>手机或邮箱未验证的情况下，如需找回支付密码，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D93f5e500f7ded0dc32a945b8048e4749%26timestamp%3D1483602108717&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=179&subject=%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81"><span style="color: rgb(51,102,255);"><strong>点击这里</strong></span></a>联系人工客服为您服务。</p><p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5137.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
客服什么时候在	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服什么时候在线	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服什么时候有空	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服什么时候上线	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服什么时候上班呢	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
物流信息停滞两天了	快递公司接单后才能更新物流，建议您在单号上传后隔天查询；快递在配送途中需到下一站点后才能更新信息，若有异常，麻烦<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId3D4256267519826loginname3D960557418_n26grade3D526name3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服处理。
没有物流信息	我非常理解您着急的心情，快递信息查询不到是因快递公司未接单上传物流信息，建议您晚点或隔天再查询。
查询物流信息	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>进入订单中心即可查看物流跟踪信息
还没物流信息	我非常理解您着急的心情，快递信息查询不到是因快递公司未接单上传物流信息，建议您晚点或隔天再查询。
物流信息怎么只更新到前几天的	确实抱歉哦，快递还未到下一个站点所以还未更新信息的，麻烦您晚点查询下。
物流信息怎么显示在其他地方中转	这个是快递的中转站点的，到了中转站点后就会发往您所在地区的，麻烦多多关注下跟踪信息哦。
什么时候送货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
什么时候送货啊	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
请问什么时候送货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
什么时候能送达	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
什么时候配送	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
什么时候送达	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
订单取消失败，是会继续送货吗	订单取消失败，商品送达时您直接拒收即可（先款订单请注意申请退款，以便款项尽快为您退回）。若还需要商品，也可正常签收。
这订单可以修改手机号码	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改哦~
这个在哪发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
你们在哪发货啊	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
你是在哪发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
冰箱在哪发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
如何退订单	亲，若您的订单还未发货，已无法自行操作，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dae236153492c725039bad57c570c5324%26timestamp%3D1483603337358&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=173&subject=%E9%85%8D%E9%80%81%E5%B8%AE%E5%8A%A9"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>
联系人工客服为您取消哦~
什么时候能收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
我什么时候能收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
这个预定什么时候可以收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
请问什么时候可以在武汉收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
今天下单什么时候可以收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
大概什么时候可以收到货呢	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
我要发票可以吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5791.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
这个单我要发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5791.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我要发票，还要清单明细呢	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5791.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想要发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5791.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我不要发票	不需要发票的话可下单时选择“不开具发票”或选择电子发票不随商品寄出哦。部分商品是默认要开发票的哦，具体建议您在下单时选择。
我不需要发票	不需要发票的话可下单时选择“不开具发票”或选择电子发票不随商品寄出哦。部分商品是默认要开发票的哦，具体建议您在下单时选择。
支付失败	支付不成功都是有系统提示的，还请您根据提示检查，并重新尝试操作。部分银行设置有支付限额，您可联系发卡银行看能否提升额度。
支付异常	支付不成功都是有系统提示的，还请您根据提示检查，并重新尝试操作。部分银行设置有支付限额，您可联系发卡银行看能否提升额度。
支付有问题	支付不成功都是有系统提示的，还请您根据提示检查，并重新尝试操作。部分银行设置有支付限额，您可联系发卡银行看能否提升额度。
支付失败	支付不成功可能是系统繁忙或网络故障导致的，还请您看看支付不成功有没有提示，稍后刷新页面根据提示重新尝试一下哦。
支付异常	支付不成功可能是系统繁忙或网络故障导致的，还请您看看支付不成功有没有提示，稍后刷新页面根据提示重新尝试一下哦。
支付有问题	支付不成功可能是系统繁忙或网络故障导致的，还请您看看支付不成功有没有提示，稍后刷新页面根据提示重新尝试一下哦。
无法支付	支付不成功都是有系统提示的，还请您根据提示检查，并重新尝试操作。部分银行设置有支付限额，您可联系发卡银行看能否提升额度。
无法支付	支付不成功可能是系统繁忙或网络故障导致的，还请您看看支付不成功有没有提示，稍后刷新页面根据提示重新尝试一下哦。
为何我这个订单无法支付	支付不成功都是有系统提示的，还请您根据提示检查，并重新尝试操作。部分银行设置有支付限额，您可联系发卡银行看能否提升额度。
怎么绑定银行卡	<p>如需查看具体美盈宝绑定银行卡操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
怎样绑定银行卡	<p>如需查看具体美盈宝绑定银行卡操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我没绑定银行卡	<p>如需查看具体美盈宝绑定银行卡操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
请问在哪绑定银行卡	<p>如需查看具体美盈宝绑定银行卡操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
绑定银行卡	<p>如需查看具体美盈宝绑定银行卡操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
不能支付	支付不成功都是有系统提示的，还请您根据提示检查，并重新尝试操作。部分银行设置有支付限额，您可联系发卡银行看能否提升额度。
买手机有没有配件	确实很抱歉，没有查询到包装清单信息，麻烦在商品页面【包装清单】栏查看配件信息。
买手机有没有耳机	配件信息可以在商品页面-包装清单中查看，以页面显示为准喔~
买手机有没有优惠	商品价格无法单独优惠哦，商品后续是否有优惠还请您关注商品的促销信息，感谢您的理解。
买手机有没有电池	确实很抱歉，没有查询到包装清单信息，麻烦在商品页面【包装清单】栏查看配件信息。
我想换货怎麽办	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想换货怎么办	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
您好我想换货可以吗	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想换货，地址发给我	售后申请审核通过后，返回地址一般会短信通知您，您也可<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>查看审核意见。
