货到付款	亲好，如果您想货到付款购买商品，联系在线<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dff4c73425522d7f34fa1fb578cc16d20%26timestamp%3D1483423376172&page=0&enterurl=http://help.gome.com.cn/question/9.html?intcmp=sy-public01023&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=162&subject=%E5%9C%A8%E7%BA%BF%E5%92%A8%E8%AF%A2"><strong><span>人工客服</span></strong></a>####帮您提交订单哦
车险中投保人和被保险人可以不是同一人吗？	可以。在汽车保险中，投保人是指办理保险并支付保险费的人；被保险人是指受保险合同保障的汽车的所有者 （即行驶证上载明的车主），二者可以不是同一个人。<br/>####常见的有：丈夫给妻子投保，车主是妻子；或妻子给丈夫投保，车主是丈夫等。
汽车保险交强险保费是如何浮动的？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5297.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
汽车保险网上投保是否可以单独投保交强险？	可以。填入车辆信息后，商业险报价页面所有险种选择不投保，点击页面下方交强险选项，即可单独投保交强险。
网上买车险，理赔是否和其他渠道一致？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5295.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
哪些车辆可在网上投保？	目前网上支持9座以下（含9座）个人非营业客车的网上报价及投保。
在线游戏充值流程	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5609.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
在线游戏充值支持哪几种付款方式？	目前在线游戏充值仅支持“在线支付”及“国美游戏红券+在线支付”二种支付方式。
在线游戏充值是否可以用国美红券，美豆购买？	目前在线游戏仅支持“在线支付”及“国美游戏红券+在线支付”，暂未开通其它支付方式。
在线游戏充值可否开具发票？	国美在线暂不对游戏充值业务提供发票。
成功付款后，我怎么查看充值结果？	如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5613.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~ 
在线游戏充值一般需要多久到帐？	游戏充值一般是及时到账，如因系统延时请您耐心等待。
在线游戏我已经成功付款，能否取消订单？	不可以，在线游戏是付款后立即充值，所以无法取消订单。如您提交的账号不存在,订单会做相关自动退款处理。
在线游戏我下单后没有付款，是否可以取消订单？	普通订单12小时、促销订单30分钟系统会为您自动取消订单，无须您手动取消。
在线游戏我已付款成功，为什么订单状态还是“等待付款”？	由于在线支付网关信息延迟，所以订单状态还没有变更过来，您可稍后查看订单状态。
在线游戏如果交易失败，怎么办？	如果交易失败，我们会立即为您提交退款，款项会原路退回您支付时所使用的银行账户里。
在线游戏充值失败，退款多久到账？	游戏充值失败3-7个工作日内款项会原路退回您支付时所使用的银行账户里。
游戏点卡充值流程及注意事项	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5293.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买游戏点卡支持哪几种付款方式？	目前游戏点卡仅支持“在线支付”及“国美游戏红券+在线支付”二种支付方式。
游戏点卡是否可以用国美红券，美豆购买？	目前游戏点卡仅支持“在线支付”及“国美游戏红券+在线支付”，暂未开通其它支付方式。
游戏点卡充值可否开具发票？	国美在线暂不对游戏充值业务提供发票。
国美在线是否存在游戏点卡代刷信誉赚钱的广告？	国美不存在刷信誉及刷单行为；任何以刷信誉及刷单并有返利为名，均为诈骗，谨防受骗！
游戏点卡充值账户有要求？	目前小米仅支持小米ID、360仅支持邮箱、腾讯仅支持QQ账号充值，部分游戏充值对账号有要求，请见充值说明。
我游戏点卡下单后没有付款，是否可以取消订单？	普通订单12小时、促销订单30分钟系统会为您自动取消订单，无须您手动取消。
成功付款后，我怎么查看游戏点卡充值结果？怎么获得卡密？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5287.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我购买了游戏点卡卡密，拿到卡密后如何充值？	请登录相应的游戏官方网站或对应官方充值中心输入卡号和密码进行充值。
游戏点卡充值失败，退款多久到账？	游戏充值失败3-7个工作日内款项会原路退回您支付时所使用的银行账户里。
游戏点卡怎么查询Q币、盛大点券等充值是否到账？	可以去官方查询充值明细反馈给国美客服。
如果游戏点卡交易失败，怎么办？	如果交易失败，我们会立即为您提交退款申请，款项会原路退回您支付时所使用的银行账户里。
游戏点卡充值一般需要多久到帐？	游戏充值一般是及时到账，如因系统延时请您耐心等待。
我游戏点卡已经成功付款，能否取消订单？	不可以，游戏点卡是付款后立即充值，所以无法取消订单。如您提交的账号不存在,订单会做相关自动退款处理。
我已付款成功，为什么游戏点卡订单状态还是“等待付款”？	由于在线支付网关信息延迟，所以订单状态还没有变更过来，您可稍后查看订单状态。
彩票购彩流程	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5624.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是彩票复式投注？	复式投注是相对于单式投注而言的，指购买者在购买彩票时，选择超过常规开奖的号码个数，并组成一组的投注方式。超过规定数量的号码会依据规定的开奖号码个数排列组合成多注彩票，在提高中奖机会的同时，投注金额也会相应增加。
什么是彩票胆拖投注？	指在购买彩票时选出一个或几个号码为胆码，固定以这一个或几个号码与其他号码分别组成单式或者复式号码进行投注，固定不变的号码为胆码，其他变化的号码为拖码，简称胆拖。
什么是彩票单式投注？	最基本的投注形式，即购买者根据相应彩票的规则直接选择规定数量的号码组成一注彩票。
购买彩票有时间限制吗？	根据不同彩种的代购截止时间不同，在某个彩种当前期代购已截止但下期未开售期间不可以购买，其他时间均可以购买。
如何查看我的彩票投注记录？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5629.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买彩票为什么要填写真实姓名及身份证号码？	 购彩者的真实身份信息非常重要，姓名和身份证号码是领奖的凭证，请务必在彩票订单确认提交前进行填写，否则无法兑奖。
单笔购彩订单有金额限制吗？	根据彩票管理机构的相应文件规定，单笔购彩订单上限目前为2万元。
彩票中奖后多长时间派奖？	单个投注彩票的，每期彩票开奖结果公布后，本平台将公布相关开奖信息，并在2个工作日内将固定小奖奖金返至中奖用户的余额账户中。大奖（大于等于1万元）奖金用户可委托国美在线进行兑奖。
彩票中奖后如何领奖？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5633.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
彩票中奖后，网站是否会收取额外费用？	本平台不向用户收取任何提成或佣金费用。如果您单注中奖金额超过1万元（含1万元），按照现行彩票管理规定，需缴纳中奖金额20%的税款，由彩票中心直接从奖金中扣除；如果单注中奖金额在1万元以下不需缴纳税款。
在哪里查看我购买的彩票是否中奖？	如需查看具体内容，请<a href="http://help.gome.com.cn/question/5635.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
什么是彩票“限号”规则？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5636.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
双色球玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5637.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
福彩3D玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5638.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
七乐彩玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5639.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
七星彩玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5640.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
排列五玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5641.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
排列三玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5642.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
大乐透玩法规则	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5643.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
彩票电话投注委托协议	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5644.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
目前演出票支持哪几种支付方式？	演出票目前支持支付宝、财付通和网银支付。
我的账户已完成付款，但演出票订单显示未支付？	可能是由于在线支付网关信息延迟,导致订单状态还未变更｡请稍后刷新下，再查看订单状态｡
演出票限制配送范围吗？	没有限制，请您放心购买。
演出票需要额外支付配送费吗？	配送费用由票务公司负责，用户不需承担配送费。
购买演出票后可以退换票吗？	演出票品具有唯一性、时效性等特殊属性，如非活动变更、活动取消、票品错误的原因外，不提供退换票品服务，购票时请务必仔细核对并审慎下单。
如何查询演出票订单记录?	<p>请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=v-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，选择演出票选项查询演出票订单哦~</p>
购买演出票票品后，如何查询物流信息？	请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=v-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####，选择演出票选项，进入对应订单里查询快递单号，可根据快递单号查询物流信息哦~
演出票购票流程	如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5247.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
演出票购票说明	如需查看具体内容，请<a href="http://help.gome.com.cn/question/5692.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
演出票购票须知	如需查看具体内容，请<a href="http://help.gome.com.cn/question/5693.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
什么是美盈宝？	美盈宝是国美在线为个人用户打造的个人资产增值服务。把资金转入美盈宝即为向基金公司购买货币基金等理财产品；<br/>####美盈宝的资金可随时提现或预约理财，也可直接购买固收、投金宝、票据理财产品。 支持储蓄卡余额转入，目前不收取任何费用。
美盈宝服务协议	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5309.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝诺安基金网上直销服务协议	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5310.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝诺安基金快捷支付协议	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5311.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝诺安基金货币基金快速赎回协议	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5312.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝投资人权益须知	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5313.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
怎么进入美盈宝？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5314.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
使用美盈宝服务需要什么条件？	拥有二代身份证的中华人民共和国大陆居民，且完成实名认证的用户。
美盈宝有哪些基金产品？	美盈宝首批引入货币基金基金产品为诺安天天宝B货币基金产品（基金代码：000625）
为什么要把钱存入美盈宝？	您存在美盈宝的资金不仅可以获得稳健的收益，还可在国美在线消费（确认份额之后），此外资金可随时提取转出，方便灵活且不收取任何手续费，真正实现花钱赚钱两不误。
什么是美盈宝货币基金？	货币基金是聚集社会闲散资金，由基金管理人运作，基金托管人保管资金的一种开放式基金，专门投向风险小的货币市场工具，如国债、央行票据等，具有高安全性、高流动性、稳定收益性，具有“准储蓄”的特征。
美盈宝基金公司介绍	诺安基金成立于2003年12月，目前旗下管理着32只开放式基金，截至2014年一季度末，公司管理的资产总规模超过500亿元，拥有客户数量超过500万。公司经历了多次牛熊交替的考验，始终坚持严谨、稳健的投资风格，为投资者实现了良好的投资回报。
美盈宝收益	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5322.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝展示的是当天的收益吗？	在您存入资金并确认份额后，美盈宝中展示的是前一天的收益。
美盈宝中的资金用掉一部分，收益怎么算？	美盈宝的资金可以转出或理财消费使用，普通转出时，继续享有当天的收益；快速转出时，不再继续享有当天收益。
钱放在美盈宝会亏本吗？	您转入美盈宝的资金是购买了基金公司的货币基金。货币基金投资的范围都是一些高安全系数和稳定收益的品种，属于风险较低的投资品种，从历史数据来看，收益稳定风险极小，理论上存在亏损可能，请谨慎投资。
美盈宝开户流程	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5327.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝开户时支持绑定哪些银行卡？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝支持哪些转入方式？	美盈宝转入支持用储蓄卡转入付款，需要您先将银行卡与您的美盈宝账户绑定，绑定时确保持卡人姓名与美盈宝账户的持有人一致。
美盈宝有没有转入次数以及金额限制?	美盈宝支持转入次数以及金额的限制受银行卡限制，具体的限额在存入界面有提示。建议金额：根据基金行业历史经验，建议您持有100元以上，可以有较高概率获得收益（若当天收益不到1分钱，系统可能不会分配收益，且也不会累积）。
如何将资金转入美盈宝？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5331.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝提现支持哪些银行？有次数限制吗？	美盈宝目前仅可转出至已绑定的银行卡。快速转出有次数、额度的限制，以转出页面展示为准。
美盈宝普通取现和快速取现的区别	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5333.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝购买理财产品支付流程	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5335.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
网银开通美盈宝需要哪些条件？	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5771.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝可以绑定几张银行卡，如何绑卡？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/6138.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝快速转出暂停，是否属于正常情况？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/6147.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝的收益如何计算？获得的收益缴税吗？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5321.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美盈宝取现流程	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5334.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是预约理财？	 通过提前预约的方式，来购买您期望的理财产品。无需您时刻守在电脑旁、手机旁就能够及时抢购高收益标的，不错过每一分收益。
预约理财要满足什么条件？	 首先您需要开通美盈宝（若已是美盈宝用户无需再次开通），并且保证美盈宝可用余额不低于想预约的金额。
用于预约的美盈宝余额还能获得收益吗？	可以，用于预约的美盈宝余额在预约期间仍可获得收益，只是这部分资金不能提现。当系统帮您匹配到符合您需求的标的后（即为您成功购买到理财产品），则这部分金额将不再享受收益。
预约理财可以预约什么理财产品？	目前可以预约投金宝、定期、票据。
成功预约到期望理财产品会有什么提示吗？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5340.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
预约的理财产品到期后本金和收益返回到哪里？	理财产品到期后，本金和收益会返回到美盈宝中。
是否可以取消预约理财预约订单？	支持取消预约订单，但是投资成功的金额是不可取消的。取消预约单后，取消的这部分金额会重新变为可用状态（即可以提现和购买理财）。
预约理财预约单状态介绍	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5343.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
预约理财预约流程介绍	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5344.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
预约理财美银票可投资金额是多少元？投资时为什么会提醒我要投资剩余全部金额？	起始金额是100元，投资金额是100的整数倍数。如剩余金额小于起购金额100元时，需由最后一位投资人将剩余金额全部投资完成，使票据项目募集成功。
预约理财从什么时候开始计算利息？募集期间有收益吗？	投资人投资当日订单状态为投资成功即开始计息 ，投资当日有利息。
国美票据理财购买流程	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5378.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是美银票？	美银票是一款借款类的理财产品，融资企业以其持有的银行承兑汇票提供质押担保向投资人融资，然后通过国美金融平台发布借款申请需求，向投资人直接融资的借款项目。融资企业承诺在借款到期一次性还本付息给投资人。
什么是银行承兑汇票？	银行承兑汇票是由银行开具的到期兑付的书面凭证。根据我国票据法规定，银行承兑汇票由银行承兑，银行承诺到期后会无条件兑付该票据金额给予该银行承兑汇票的所有人。
怎样进入票据理财	<p>请<a href="http://piaoju.gome.com.cn/?intcmp=jridx-jrhead-13"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>进入票据理财哦~</p>
银行承兑汇票的出票机构是？票据质押债权拥有人是？	银行承兑汇票的出票机构是银行；票据质押债权拥有人是广大投资者。
票据理财是否可以使用信用卡支付？	不支持信用卡购买，投资类理财产品仅支持储蓄卡支付。
票据理财一笔订单可以多张银行卡支付吗？	不可以，目前不支持组合支付，也就是一笔订单不可多张银行卡支付。
票据理财未支付的订单我可以回去继续付款吗？未支付的订单可以保留多长时间？	<p>（1）15分钟内未支付的可以继续付款；<br/>（2）当点击确认投资之后，订单锁定的份额将为您保留15分钟，15分钟您还未完成支付，系统将自动解锁您的订单，默认您放弃此次投资。</p>
票据理财投资成功后哪里可以看到投资的金额？	<p>如需查看具体操作，请<a href="http://help.gome.com.cn/question/5352.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
美银票到期我一定能获得预期收益率吗？预期收益和实际收益会一致吗？	借款人以银行承兑汇票作抵押，银行承兑汇票到期由银行无条件承兑，可用于偿还您的本金与收益。
票据理财投资时预期收益是如何计算出来的？	预期收益计算公式为：预期收益=本金*（投资天数/360）*预期年化收益率
票据理财到期后本金跟收益会回到哪里？	1.票据理财到期后，如您使用银行卡快捷支付或美盈宝支付本金及收益将会返还至您原有的支付渠道（美盈宝或银行卡）中。<br/>####2.如您使用网银支付，到期后本金及收益将返还至您绑定的理财返款卡中，如更换理财返款卡，请联系国美在线客服。
票据理财本金和收益何时能收回？	 理财到期日（本息兑付日）之后1~3个工作日内，节假日顺延。
美银票项目募集失败如何处理？	 美银票项目在募集期满时如果投资金额没有达到融资金额，则会导致募集失败，所有投资者的投资资金会在1工作日之内原路退回。
美银票可以提前赎回吗？	不可以，到期借款人还本付息。 如借款尚未到期，您无法提前取回款项。
投资票据理财产品到期前更换了（注销了）银行卡，应如何还款？	如您投资的银行卡丢失或者不能正常使用，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dae236153492c725039bad57c570c5324%26timestamp%3D1483603337358&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=173&subject=%E9%85%8D%E9%80%81%E5%B8%AE%E5%8A%A9"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####联系国美人工客服哦~
美银票到期日遇到双休日、法定节假日的时候，最晚还款日是哪天？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5360.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我现在有一款净化器想入驻国美请问入驻费用是多少啊	请<a href="http://help.gome.com.cn/question/198.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####查看具体资费标准哦~
你好我要怎么联系到卖家呢	在商品页面右则，您可以看到卖家信息点击“在线客服”或“联系供应商”按钮，咨询卖家的在线客服人员；也可以拨打商品页面右侧商家信息下的联系电话直接致电卖家。
在线支付说明	<p>1、国美在线支持使用大部分银行借记卡及信用卡，为您提供多种付款方式，即时到帐，准确快捷，推荐您优先使用在线支付； <br/>2、在线支付支持：快捷支付、网银支付、支付平台（银联在线、支付宝、快钱、微信支付、翼支付）、信用卡分期付款；<br/>3、在线支付是没有手续费的（信用卡分期付款除外）</p>
在线支付是否成功？	<p>您可以通过以下方式验证在线支付是否成功： <br/>1.  支付完成后系统提示“支付成功”；<br/>2.  系统提示“支付失败”（信用卡超额透支、借记卡余额不足、意外断线等），需重新完成支付。</p>
什么是快捷支付？	快捷支付是国美在线联合中国银联推出的便捷、安全的支付方式，只需您将银行卡绑定国美在线账号，支付时输入手机验证码即可完成付款。快捷支付无手续费。
快捷支付服务协议	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5046.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何开通国美在线快捷支付？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5049.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
使用快捷支付，需要付手续费吗？	 快捷支付是不需要手续费的
快捷支付可以绑定信用卡吗？	 快捷支付支持借记卡及信用卡
如何使用网银支付？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5059.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
所有商品都支持快捷支付吗？	主站、团购、抢购等国美实物商品都支持快捷支付。
各家银行支持信用卡支付的额度是多少？	一般信用卡的支付额度为最高单笔单日500元的限额（部分银行可能会有差异，以具体银行规定为准），如需大额支付，请与您所持银行卡的客服联系，支付额度最高可达信用卡本身透支额度。
银行卡每天有使用次数限制吗？	<p>银行卡有每日限额和日累计限额，根据您所持卡的类型，支付限额也会不同。请<a href="http://help.gome.com.cn/question/5047.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>查看银行支付限额表</p>
签约快捷支付或已绑定的快捷二次进行支付时，手机收不到验证码怎么办？	1.由于通信网关的影响，有可能造成短信接收延迟，请您耐心等待或尝试拨打手机，查看通信是否正常；<br/>####2.请检查您的手机是否欠费停机；<br/>####3.请检查您的手机号码是否为银行卡预留的号码。
付款时网上银行网页已过期无法支付怎么办？	请<strong><a href="http://myhome.gome.com.cn/member/myOrder?intcmp=help-public01004&flag=a0"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>####找到未支付成功的订单，重新完成支付。
如何修改银行预留手机号？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5050.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
网银支付限额	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5058.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
银行通道及限额	如需查看具体图示，请<a href="http://help.gome.com.cn/question/5051.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~"
快捷支付限额	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5047.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
支付失败怎么办？	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5044.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
快捷支付的优点	方便：不用跑银行开网银，有卡就能付，无需随身携带U盾；<br/>####快捷：30秒完成快捷支付及开通，10秒完成支付；<br/>####安全：信息输入和处理严格加密保护，手机验证支付，保障资金安全。"
支付平台都有哪些？	<p>如需查看具体内容图示，请<a href="http://help.gome.com.cn/question/5062.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
银联在线支付说明	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5064.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
订单的支付时效是多长时间？	如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5043.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~"
国美在线分期付款服务目前支持哪些银行？	<p>国美分期支持招商银行、中信银行、建设银行、广发银行、民生银行、兴业银行、北京银行、农业银行。<br/>其中除招商银行外，其他银行需查询是否签约快捷，如已开通则直接获取验证码即可支付，如未签约，则需签约银联分期快捷，开通并支付。  </p>
分期付款注意事项	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5709.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何使用分期付款？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5072.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
在线支付分期付款会有手续费吗？	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5071.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是分期付款金额？	<p>分期付款金额是指您的订单应付金额，最低为100元，最高不超过50000元，具体金额以银行设置为准。</p>
什么是网上支付分期付款？	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5068.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何使用门店付款？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5074.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
门店付款流程	<p>如需查看具体流程，请<a href="http://help.gome.com.cn/question/5073.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
门店付款退款说明	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5075.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我的配送地址是否支持货到付款？	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5036.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
货到付款支持哪些支付方式？	货到付款支持现金支付、POS机刷卡两种支付方式。
购买商品时，如何选择“货到付款”？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5038.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
