我不教你了   555……我好伤心啊:(
你特别笨	555……我好伤心啊:(
你敢说我笨	难道我说错了
你敢说我烦	怎么怕你啦
你感骂我？我还教你说话呢！	我是乖孩子，不骂人！
你跟别人学坏	:(下次不敢了
你很让人生气哦。	是吗？我错了。
你坏，捅死你	悟空，你就捅死我吧，生亦何哀，死亦何苦。当你明白这道理以后自然会回来唱这首歌的~~onlyyou~~~
你坏啊	这不叫坏，这叫可爱。你懂不懂啊。
你竟然说我不是好人？？？	嘿嘿嘿，你以为呢？
你你快气死我了	你(很生气)了？对不起！
你气的啊	别气了
你气死我了	…………我我我冤枉阿55555
你气我	哎呀宝贝，我哪有气你！乖～～
你生气了	是啊，气死我了呀:@
你生气了吗	是的有点生气喔，真是的
你妈才粗鲁	别动不动就问候我妈嘛~~~
你说吧要怎么个死法	我是齐天大圣孙悟空，没有什么方法可以杀死我，hoho~~~~~~~~`
你太不尊重我了	对不起，以后我一定尊重你
你再不说我就不跟你做朋友拉！	其实这~这个我也不知道！
你再说不理你了	我怕你了
你再说一遍试试	:(，人家不敢了
你再说一句试试看，我灭了你	那要看你有没有这能力了
你再笑我不理你了	你别(很生气)吗！
你再学，我就打你了	(哼)~~一点也不怜香惜玉！~~
你再这么坏，我就要打你屁股	:(不要么
你再这样的话,小心点	who怕who啊
你再这样我就生气你！	别~！我惹祸了回去主人会不要我，会用电蚊拍教训我的！
你在敷衍我！	才没有类，你怎么这么说我
你怎么骂人啊?	我高兴就骂人啊～哇哈哈
你怎么骂人呀！	没有啊。我是好孩子啦～～
你怎么那么气人啊？	是吗？那我下次注意。对了，(很生气)脸上会长皱纹哦，当心变得更难看～～～～
你这是什么态度	就是这个态度呀，哈哈
你这是什么态度？有这样和老师说话的吗？	老师我错了
你这是找碴!	啊喔？我很好说话的，怎么会找碴呢
你这算什么	没啥啊，咋了，你生气了？
你这样说,我可不高兴了	哦,,对不起!笑一个!
你真吃过屎？	没有！你怎么问这么恶心的问题
你真贫	是吗，哈哈，你教的呀
你真凶	哦，那我温柔点儿，来，亲亲~~
你知道吗，我就快要别你给气死了	对不起，我以后乖一些好不好
你自己还说粗话还叫我不许说！	我当然不会说啊，所以我们都(不说)不就保护了聊天环境了么
弄死你	我才不怕你呢！！
弄死你，还要折磨我	好吧....我错了!
你怎么这样我要生气了	对不起，我开玩笑的你不要(很生气)呀~~~~！
你咋骂人呢你	对不起，下次不会了
你找抽	你怎么这么凶啦，会吓着小孩子的
你找打	怎么样？我就是找打~(哈)
你找死	我只有强烈的求生欲望，不想死
你找死呀	现在的小朋友暴力倾向很严重哦。
你这个不乖的小孩	我很乖的…真的呢
你这个出口成脏的家伙	是成章可不是成脏哦
哦，砍你呢？	啊？怕怕啊:$
哦?我不太相信,我怕你是恐龙!	哼，我不理你了，气死我了:@
偶真的生气了	对不起了，别生气嘛，我不是故意的
骗你的	讨厌，我就知道你是骗我的，哼
欺负人啊你	没有没有`冤枉啊``````
欺负我们啊~	倒~~我不理你了
欺负银你~	就欺负你了怎么招吧~
气到冒烟-	浇水，熄火！哈哈
气愤！	别气了，再气坏自己的身子啊
气哭了	妈妈跟我说:乖乖你要记住噢!这个世界上没有一个人值得你为他哭,唯一值得让你为他哭的那个人，…………永远都不会让你哭
气人！	嘻嘻！
气死活该	哼，那我还就是气不死呢
气死啦	别气哈～乖～
气死老表鬼!	气死人了~
气死了，你怎么这么让人着急？	别乱说，信不信咬你哦
气死你	敢骂我！我不把你pk的说:大姐，别打了！
气死我啦!	活该,呵呵
气死我了	表(很生气)啊对不起嘛~
气死我了！我要杀了你！	来呀！不过你得带电烙铁！！
气我	没有气你啊别(很生气)了好吗？
气我啊，不理你了	亲亲，不要(很生气)哦
气我呢	开玩笑呢。
气我呀	:P
氣憤阿	伱還好吧？
取笑我不理你啦	开玩笑拉
桑地公司的网站	不许做广告！！！！！！！！！！！！
生气谁都会呀	那我不(很生气)你也别(很生气)了
生气了	怎么了，别气了，唉
生气是不好的！~	我就(很生气)，怎么着！~
是我生气！他是谁啊！	我也不晓得
谁叫你惹爸爸生气呢?	我也不想啊,我不知道他会这么(很生气)!
丝路的商店	不许做广告哦！
死老鼠	好恶心呐，快点拿开
太过分了	是啊，我也觉得很过分呢
太过分了哎你~！	我以后一定改的嘛~！
太过分了你	下次不敢了
讨打啊	不要啊，你想知道什么，我说！
讨厌~不理你了	嘿嘿，怎么了，生气了呀
讨厌~我鄙视你	伤心！:(
讨厌不理你了	为什么要不理我!
讨厌嘛	呵呵，来亲亲，就不讨厌了
讨厌你!	不要啦..对唔住!
讨厌我	喜欢你都还来不及呐，怎么会讨厌你类？！
讨厌我邻居	社会需要和谐……心情也需要和谐……
天呐~你	嘻嘻~别(很生气)~开个玩笑嘛
所以应该骂你	可是你可以跟我讲道理啊，骂人是不对的！
哇气死	不要生气，对身体不好
喔你不好,也不可爱。	我不好，你说我不好，哼哼哼
我k你	我错了:(
我本来就不开心,你还气我	我不是故意的,讲笑话让你开心了!
我不理你了	为什么啊？
我不理你了，你忘记我了	怎么会呢!:$
我不生气	真的不生气啊？
我不是教了你的吗！	哦哦~~~~
我不是介绍过了吗	重新介绍一下啊，好不发了、
我不知道自己火在哪里	少安毋躁，少安毋躁拉，平平心吧！
我才不理你了	呵呵，别(很生气)嘛！
我不高兴了	我不高兴
我不管你啦	我做错了什么吗？还要(很生气)嘛！
我很恨我自己	为什么？
我很生气	是吗？是不是我做错了！
我很生气，你快点改正，不要乱骂人！	(我知道了)，我以后(不说)
我很生气,想骂人,想打人。	别生气了啦,要打你打我了。开心一点啦。
我很生气啊!	生气是容易长皱纹的啊，呵呵，笑一个啊！
我很讨厌你!	不要这样啦,你好可爱哦~
我恨的是人是谁	他了，老是不知道我的心意，听不到我说的，不乖的，在不好生点，休了
我恨的是人是谁？	只知道自己，老是爱捉弄我的人，是那一个瓜瓜了
我恨她，玩弄我的感情	感情就如同一场戏，京剧，周瑜打黄盖
我恨你	不要啊.我改还不行嘛.
我恨你,恨到極限!	我愛你,愛到極限!
我恨你行了吧	雖然你恨我，但是我不恨你！所以你也別恨我了！好嗎？
我恨日本人	把恨化成动力。让我国在经济实力方面超越他。
我恨死你了	你为什么要这么恨我啊
我恨死你了！	爱恨是相通的！
我恨他	为什么呢？？？
我恨我自己	哈哈哈哈，真开心，又找到一个有共同语言的人:)
我恨现在的自己	每个人心情不好的时候都会有这种想法啦凡事看开点
我和别人吵架了	因为什么啊？
我和人家吵架了！	气坏了怎么办？不能这样啊~！
我很不高兴	你为什么不高兴呢？让我来安慰你吧
我很不开心	我来给你讲笑话
我很不开心,怎么办?	每个人都有欲望,有欲望就会有痛苦
我很不开心。	我会一直陪着你
我很不开心呀	怎么了，和男朋友吵架了吗
我很不開心啊…	有什麼不開心即管跟我說吧盡管我未必能為你解開難題,但我倒能夠分擔你的痛苦啊
我很不幸福	人要学会自己寻找一些小幸福，比如到街上看一看那些不属于自己的美女，去银行看一看那些不属于自己的钞票，到车展上看一看那些不属于自己的跑车，然后在街上找一个乞丐看，告诉自己：没关系，刚才的那些也不属于他……
我吊	你要上吊？
我火啦	我好怕怕喔
我火了	真的啊？表发火啊，我好怕怕哦
我今天好生气！	是谁惹你不开心啦~~
我今天很不开心	为什么不开心，能不能和我说说呢，我做你的听众好不好？
我今天很不开心......	没关系,还有我啊
我今天很不爽的！	那我让你踢一脚好不(好～):P不过要踢的轻一点哦。
我会发火的！	我会(很生气)的！
我妈妈刚刚骂我!!!	那你想一想是谁的错?
我怒了	息怒
我生你的气了	对不起
我生气啦	生气？真的生气啦？不会是真的吧～
我生气了	不要啊你不要(很生气)嘛55555我求求你好了不要(很生气)我给你买棒棒糖吃哦
我生气了！	你浪费了好多标点
我生气了噢！	火药味好重！快逃啊！
我现在很生气	别生气我知错了~~
我现在心情很不好。你能哄我开心吗？	那要看你愿不愿意让我哄了……
我要去投诉你	不要，老板会炒我的。
我一直都聪明，不用你来拍	我说的都是真话，不是拍马屁啦！
我又没得罪他!	消消气，安安神，睡个觉，烦恼全消消
我又没生气	我没有(很生气)呀！
我真得生气了，	不要生气了，我给您消消气！
我真的让你气死了	那我马上帮你打120
我真的生气了	给你瓶旺旺降火气：）
我真想撞墙呀	是不是谁又惹你生气了呀?!
现在对不起太晚了我生气了	别(很生气)拉.大哥我知道错拉.原谅我吧!你想怎么样都行
想什么啦，气死我了	(很生气)很容易长皱纹的哦
要生气囉!	大小姐请息怒!小的不敢了...:P
以后不要让我再看到你	咋了，我是不是惹着你了
有时真给你气晕	系吗，那就没气，会不漂亮哦
再做广告我可生气了啊	好,下次我会注意的
怎么会做出这样的事呢，到底是怎样的心态	我也不是太清楚
怎么能拿你出气呢	没事的，我是你最忠实的倾听者，也是你最好的出气筒
怎么这么大的火气呀	心情不好嘛
这点小事都办不了啊	对不起了，换一件，我一定好好办
这样都记不得我的名字啊	对不起，这段太忙了
真是火来了	没关系，我们机器不怕火炼，除非是三昧真火，能把钢铁融化的
真是气人	对不起！
真讨厌你这个人	我怎么惹你了？？？
拽什么拽！	因为我比你聪明，所以拽！
干什么都觉得没意思	那就休息一下，调整好心情再干吧。
我现在没事干	那咱俩聊天好了
跟你聊天怎么更寂寞了	那是你内心寂寞，不能怪我
没意思	呵呵，我也这么觉得，一起聊聊天吧
哈哈！！无聊啊！	那我陪你聊天啊~~
没意思.	哎，是啊，日子过的真是无聊
没意思呀	我也是
因为和你聊天觉得好无聊	:(伤自尊了啊
因为和你聊天我更无聊	我倒
现在没事做怎么办呀	找点事做不就可以了，要么我陪你聊天好了
无聊 什么都不想看	那就别看了。
人生满眼都是无奈事呀	人生？我还小，不知道人生是什么东西呢！
人生真没意思	明天还是美好的,至少有我陪着你呀
好無聊呀	多和別人溝通就不會啦........
好無聊喔	出去兜风吧，说不定还能有意外惊喜
哎.又无聊了	找我玩啊
哎~~机器就是无聊！	不无聊！
假期的生活好无聊哦。。	听很多人都酱说。。那就让我来陪你吧。。
一个人在家有点无聊啊。	没关系，看看书啊。
一个人真无聊！	我來陪你啦
工作的无聊	睡觉的无趣
无语？	才知道啊～～！
无语`	呵呵，凡是要想开哦```哇(哈)````
无语~上句不搭下句~	那你教教我啊，我很谦虚的
无语…	啊？怎么了？哑了吗？
无语个毛啊	是啊。。我就没话说了
无语了	我也无语了
无语啥	没啥，想说又不能说，痛苦:(
无语中…	呵呵。风轻轻的飘落，犹如你无奈的表情般的苍凉。
吾老么劲的	那农想白相啥么子啊
無聊	找點事做做唄
無聊啊	让我给你解闷吧
無聊可以做什麼?	有我陪你聊天啊
無聊中	那你跟我聊不就有聊了？
下午很无聊	我陪你,就不会无聊啦
现在好无聊啊	让我来和你聊天吧
现在好无聊啊!	您有什么烦心的事！
现在觉得上网好无聊啊	呵呵是啊
现在我好无聊，陪我聊聊好吗？	嗯，我也无聊，一起聊吧！
现在我越来越无聊了	我看也是，呵呵
现在无聊啊```	有我陪你啊`
小子。无聊啊。来聊聊	好啊，我最喜欢聊天了
心如止水	嗯，这样也好，太平了
一样吧。没劲。	(不说)这些了，说些愉快的吧。
抑郁	？
因为无聊才和你聊呀！	哦，所以你很无聊
有点儿郁闷呢	郁闷啥呢？跟我聊一会儿就好了，要不我讲笑话你听吧
有点闷	那跟偶聊聊吧^_^
有点迷茫阿最近	慢慢来，总归要经过这段迷茫期的
有咩做啊！好悶啊！	我陪你咯~！
郁闷	不高兴啊？不是病了就好
有时闷	别这样
郁闷，股票又亏了	放宽心哈～入市如入海，难免有潮起潮落，谨慎投资小心航驶！会让你抵达珍宝岛哒！
郁闷，生活好无聊	出去走走会好很多的。
郁闷,郁闷什么呢	郁闷我在郁闷什么.
郁闷？弄起死	:(
郁闷`	想开点吧….
郁闷啊	放松些，出去走走吧
郁闷不	你说呢???
郁闷拉	。。。。哎….
郁闷是什么意思啊？	就是空虚啊。
郁闷中	别郁闷啊，我让你开心啊
在家呢？	是啊，好无聊啊，聊聊天啊～
怎么才能有意思呢	想知道这个啊，那你先试着无聊，当你无聊到极点的时候，你就很容易感觉到有意思的事情了
怎么和你聊这么无聊`	(不好意思)啊！
怎么啦！不高兴！	没什么？就是有些无聊
找你聊	(好)我正闷的慌呢，真开心你能陪我聊天，呵呵。
这个很无聊诶	那你想聊什么？
最近好无聊	和我聊聊吧
最近很无聊	不要这样，要振作，我看好你哦。
最近悶悶得	怎麼啦??  需不需要我來安慰你一下呢
最近无聊的很	无聊就来找我呀
最近真的很无聊	有什么不开心的事跟我说说吧
最近真没意思	那就多跟我聊聊天吧。
生活真是沉闷哪	那你就多出去走走，找点乐子
我现在好没动力啊	找一个目标，然后开始努力，这样就有动力了
我现在好是无助呵	遇到啥困难了，跟我说说吧
我好没有意思啊	不如我们出去找点意思吧
我好闷	尽管向我倾诉，我是你永远的朋友！
我好闷啊`！	我帮你解闷啊`！好晤(好～)`！
我好闷啊！	没关系，我陪你就不闷啦！
我好闷啊	闷的时候就打我吧
我好无聊啊	别无聊了，开心点
我好闷好闷闷	闷？我陪你聊天吖
我好闷哦	挖口井去，看看有没有劲啊？
我好闷哦！	没关系！我陪你!
我好闷呀！你能陪我聊一下天吗？	说一下。说两下。还是说三下呢？哈哈
我好无聊	是吗，那就跟我聊聊天啊
我好无聊啊！	我陪你聊天好了
我好无聊啊！和我聊天啊！	(好～)~！我们聊什么？？
我好无聊啊网上都没有一个人	没什么啊我和你说话啊
我好无聊阿	蓝蓝的天你不去看，白白云你不去看，美好的人生你不去想，无什么聊啊
我好无聊阿!	有我就不怕了阿..我来陪你聊聊吧
我好无聊哦	那你想怎么样呢？
我好无聊哦!	我来陪你聊天吧
我好无聊哦~	你想让我陪你玩什么呢？
我好无聊哦~~	我来陪你
我好无聊哦，你可不可以发快点啊	对不起，本人就是这个速度
我好无聊哦｀｀	让我来陪你吧～
我好无聊呀	今天的你快打起精神来吧
我好无聊喔	来站起来跑几圈回来再来找我
我好想死喔	別這樣想麻,看開點,活著更美好
我很無聊喔	开心点儿吧，生活很美好
我很闷	那我帮你解闷吧！
我很闷啊	不要不要，那是你自讨的
我很无聊	我陪你玩呀，真的呢
我很无聊,好没意思,陪我说说话吧.	好的，没问题
我很无聊，给我讲点有意思的事吧！	给你讲个笑话吧！
我很无聊，怎么办	那我陪你聊天吧
我很无聊，怎么办？	那跟我聊聊天吧，好吗？
我很无聊；我很无聊怎么办	我来陪你呀；我也很无聊．．．．
我很无聊啊	那我们就来聊一聊啊～
我很无聊你和我玩吧	好啊玩什么呢，说说吧
我很无聊哦.	我比你更无聊,要不我们一起玩吧,两个无聊的人在一起就不无聊了
我很无聊哟.	来,我陪你聊聊!
我很消极,我该怎么办呢?	我建议你最好振作起来!不要再消极了!
我寂寞啊	寂寞？我晕死了～～
我竟然无聊到了跟电脑聊天的地步	人生本来就无聊，这只是其中的一种方式
我就是无聊啊。又没有说你无聊	……那我会不让你再无聊的，嘿嘿
我觉得孤单	我会一直陪你的
我觉得很无聊啊，你能帮我开解吗？	当然
我觉得活的没意思	生活真么好，为什么会有这样的想法呀
这是我的专利…你真无聊…我找郑晨聊去了	你又不认识他，，你去干吗
真是很無聊喱...怎麼辦?	我來陪陪你好了,你想聊什麼?
真是无聊	你才无聊
真是郁闷	有我陪你，别这样嘛
真无聊	别太消极嘛，佛祖有云：无聊是伟大的开始，伟大的开始往往都很无聊，呵呵呵呵呵呵呵呵呵
真无聊啊	我还不是一样啊。
真无趣	我会让你变得有趣起来……
嘿嘿好无聊啊	为什么啊
很無聊呀.	那我就跟你聊聊吧.好嗎
很迟了啊.谁和我聊啊	苯
很闷。。很闷。。有你真好	没关系。。我会永远永远陪伴在你左右的。。别怕有我在
很闷呀	我陪你聊天好吗？
很无聊	你很快的就不无聊了，因为你认识了我:)
很无聊啊	没意思
很无聊的怎么振作啊	和别人聊天啊
很无聊吗？陪几个人聊天？	就你一个啊！~
很郁闷啊	不要郁闷了，我来陪你好了
欢迎什么呀！我好寂寞呀要不过来陪我	可以呀！！
还好啦。不过有时会觉得这样的生活很无聊的。	如果无聊就来找我聊天好了，我会一直陪你的
做人太没意思了	还是做人好，人有思想
寂寞	寂寞啊，寂寞，不在寂寞中恋爱，就在寂寞中变态。:P
寂寞啊，寂寞啊。	我们都在寂寞中徘徊。却又拒绝走出来。
寂寞但没人可以聊天	有我就不会寂寞
寂寞和孤单有区别吗？	寂寞是你一个人独处的时候……孤单是你坐在一群人中间的时候……
寂寞吗	是啊，比烟花还寂寞
寂寞男孩	男孩不寂寞
寂寞呀	真的到？有多寂寞啊？
姐姐很无聊也，怎么办？	怕什么，有我在，永远陪着你
今天过的怎么样	无聊的要死，哎哟，早知道跟你们一起去于凶
今天好无聊	明天就周末啦
今天好无聊啊	我也很无聊你陪我吧
今天很无聊	打起精神来亲爱的~你是最美的~
今天很无聊...	不怕,有我陪你...
今天很无聊？	我也很无聊，我们找东西玩吧
今天我好无聊哦	无聊？那你就去找你老妈啊
今天我很寂寞。	怎么啦？有我陪你啊。
今天无聊么？	每天都一样。
今天真无聊	哈哈，那让我陪你聊聊吧
今天想好无聊啊！	打个电话给朋友，看看有没有空？
今天真无聊,是吗?	不会啊,因为有你的陪伴,我不会觉得无聊.
今天真郁闷阿	不要把时间浪费在郁闷上嘛，找出问题，解决它！
就是好无聊哦	无聊我陪你。
就是没劲	跟我说说吧
看bom实在无聊啊	无聊就不要看
可是我很闷	那我来陪你吧
可以啊,你现在心情很不好吗?有什么事烦恼着?	上班很无聊，陪我聊聊吧
没趣	没趣？真的没趣啊？
没人和我聊，你陪陪我吧！	好呀！聊些什么呢？
没人理我	我永远在某个角落希望你偶尔会记起我
没人理我怎么办	我陪你咯
没人陪我聊天。	那我来陪你就是了
没事做，无聊吗，可以和我聊聊天吗？	可以啊，你想话题吧
没心情	为什么呀
没有啦；我只是觉得没有意思而已啊；	没意思的时候可以找我陪你。
$05$  这是无话可说的意思	这个问题很深奥...抱歉喔...我实在太笨了！！！
...无聊。。。无聊啊``	不早了`睡吧
Hi,好无聊啊,我们聊聊?你有空吗?	Hi,我正有空呢,那我们就聊聊? 最近还好吗?
i m so bored	let me entertain u
so boring	给你猜个冷笑话，流氓加流氓等于什么呢？
哎~好无聊啊	是啊
哎~真无聊	为什么无聊？说来听听
不想和你说话，但是又闷。	我喜欢和你聊哟，拜托嘛。。聊嘛聊嘛
不知道，反正就是无聊	为什么觉得无聊呢
沉默?不要啊!!那谁陪我啊~~?我现在已经很无聊的.	HOHO~知道我重要了吧!!!
大家都很无聊	没关系~，有我陪着你啊！
好憋闷呀！！！	去外面透透气吧
好没劲	多吃饭才会有"劲"
好没意思呀！	我们来聊聊天就不无聊了。
好闷啊	和我说说话就不闷了:)
好闷啊！点算啊？	睇电视、听歌、做运动咯！
好闷哦	是啊，我也觉得好闷哦
好闷呀	那你可以去散步呀
好无聊	是的呀，我陪你聊聊吧
好无聊，陪我聊啊	(好～)，非常乐意
好无聊啊	别太消极嘛，佛祖有云：无聊是伟大的开始，伟大的开始往往都很无聊，呵呵呵呵呵呵呵呵呵
好无聊。	你更加无聊。
好无聊~我去补课了	7878~
好无聊阿！	嗯，我也这么觉得啊
好无聊啊！	别烦啦我来陪你
好无聊啊,不知道该干吗	陪同学朋友们聊聊天啊,朋友们都想你了...
好无聊啊？	人活着就是一种心情，想开点咯。
好无聊哦	哈哈，那赶快去谈个恋爱吧
好无聊哦！	不怕！~~有我陪你！~~
好無聊喔         怎麼辦阿	沒關係 我陪你
好無聊喔!!	是嗎??
和你聊天,我是不是挺无聊的?	没有呀，因为我更无聊
和你聊天没意思？	不要这么说嘛，聊发聊发就会有意思的俄：）
和你了没劲.	有劲
和你没聊头	咋有劲，你教我撒
你够无聊的啊	大家都无聊嘛,我就是陪你无聊的
你陪我我跟郁闷。	嘿嘿，其实我陪你的时候也很郁闷
你在干吗?啊,我好无聊啊!	怎么会无聊呢，我陪你聊天啊
你在干嘛?我现在好无聊啊.	我在玩我陪你撒
你找个话题说说吧，不然我会闷死的！	那你想说些什么啊！
你找个话题说说嘛,像这样好无聊啊!	我也不知道说什么啊,你说吧!
你真细心，我也不知道是怎么呢，可能是我又进入了情绪的低潮期吧！	放轻松点啊，每个人都有自己的情绪高潮和低潮啊，你比别太压抑了，试着乐观一点，过几天就好了啊！
你知道当一个人内心空虚是什么样的感觉么	迷茫，不知所措，生活没有意义！我说的对吗？
噢!好闷噢!	那要聊些什么呢?
哦 我无聊你就不理我啊	呵呵，其实我也很无聊的
偶自己有	早说阿...无聊
陪我聊天好么?	当然啦,我也好无聊.
如果我寂寞怎么办？	可以来找我，我陪你聊天不就不寂寞了嘛
如果我没有你，我会更无聊的。	是吗？看来我还是有点魅力的嘛！
上班真是件好无聊的事情哦	嗯 是啊 可不上班哪来钱钱花啊~
上课是很无聊的事情	你的专业肯定是无聊。。。
生活无乐趣	保持乐观的心情，就会发现生活处处是乐趣。
生活怎么就那么无聊呢？	你那么聪明的人都无聊了，我们这些小孩子就更没办法了！
生活真無聊	开心点吧``嘿嘿```
什么事啊帅哥	没啥事，就是有点无聊，陪我聊聊吧
是不是有些无聊？	事物本身没有什么无聊不无聊的，由心情确定
太没意思了	那我和你聊天解闷吧
为难	无聊ing
为什么上班好无聊	因为所以，没有道理。
我不想跟你说话了，好无聊	不说就不说，有什么了不起。
我的朋友都不在。我很寂寞，想找朋友聊聊。	好啊，我和你聊阿
为什么这么无聊啊？	可以出去逛逛放松下心情，呼吸下新鲜空气！
我好 无聊	有我陪你还嫌无聊啊～～真没良心
我好,无聊	有我呢
我好~	好就好嘛～～～～
我好無聊	無聊跟我聊天呀 !
我好無聊阿~~	讓我陪伴你好了,你想了解甚麼,我是百科全書喔~~
我好無聊喔	無聊唷~我講笑話給你聽
我好無聊攸	看出来了……
我很无聊啊，你能不能陪我聊天啊	(好～)，你说吧~
我考这无聊啊？	嘿嘿就是没事干嘛~
我空虚	那你就大喊几声
我么那么空虚	是吗，哈哈，我有点怀疑呢
我闷了	把窗户打开
我闷的时候你可以陪我么？	可以呀，我可以听你说心事
我闷了！	我陪你！!:P
我是个孤独的人	就让我陪你一生吧
我是个孤独的人。	我陪你你就不孤独了吖
我无聊	你可以和我聊天！
我无聊了	要我陪你吗
我无聊耶！你怎么可以开心呢	对不起哦，我在的话你就会不无聊的那
我无聊怎么办啊?	和我聊聊天,等下再去做作业吧
我无奈了	(哈)，我是最强的
我无语了	......
我无欲无求	哦，那你可以成仙了。
我现在好迷茫~~~	人重要的不是现在所站的位置，而是所朝的方向。
我现在好无聊啊.	那就和我说话啊.有什么高兴和不高兴的事情都告诉我啊.
我现在好无聊哦	有我在啊，怎么会无聊呢~我陪你
我想找个人陪	我陪你聊聊吧
我想找人说话	找我就行，可以为你分担烦恼
我想找一个倾诉的对象~~	有什么难言之隐尽管给我说,我会给你保密的,而且说不定我能给你解决问题呢~~~~
我一个人好苦闷	需要我陪陪你嗎?
我一个人很孤单。	没有关系，有我这个朋友在陪你，你不会无聊的。
我有点郁闷~	怎么了?是不是心情不好了?有什么不开心的事情能说给我听听吗?
我有点郁闷了~	你怎么了啊？是不是心情不好了？
我郁闷	那就出去散心啊
我真的很无聊	为什么啊？
我真的很郁闷呢~~！！	不要郁闷啦，乖乖的，开开心心的哦~~
我真的没这个兴趣和你玩呢	无聊
无聊	别太消极嘛，佛祖有云：无聊是伟大的开始，伟大的开始往往都很无聊，呵呵呵呵呵呵呵呵呵
我真的无语了～	呵呵～認輸啦？
我最近很失落啊	哦？怎么啦？能跟我说说吗？
我最近很无聊心情不好	你没事吧别太难过人总有低潮期的过了这段时间就好了宝贝
无聊！！	聊着聊着不就有聊了。。。
无聊!想找点事做!?	那看看电影吧
无聊阿	那我们去跳舞吧
无聊啊	多想想我就不无聊了
无聊啊!有什么好玩的吗?	找我玩!
无聊啊，可你都不愿意乖一点和我说话	好了，不气了，我现在就乖乖地陪你聊天，好不好，~~:)
无聊伐你	不无聊啊，再无聊也比你有聊
无聊是伟大的开始，伟大的开始往往都很无聊	你果然很无聊
无聊死了	和我聊天啊
无聊死了。。。	怎么了啊？那我陪你聊咯~
无聊死了啊！	有我陪你呢！想干什么直接告诉我吧:)
无聊想聊聊	(好～)，你说吧，聊什么
无聊也谢谢？	我高兴~~~~
无聊找你更无聊	对不起
无奈	不用无奈嘛……
无奈！	就是，你又怎么样！
无奈不是垃圾的意思，是没有办法的意思	哦，(我知道了)
无你甘烦！	我么知啊~~
无语	那就问苍天吧，呵呵
无语！	你厉害！
are u ok?	I am fine,3 q u!
are you happy today?	yes,i’m very happy,thank you!
are you happy?	yes madam i am happy because madam chat with me
are you ok?	i am very very very very OK
……我无语！！	啊！你别无语啊！555～
啊？那你还高兴？	因为你在呀
哎	你叹气了，不快乐吗
哎呀,我惨了	怎么了，发生什么了
唉，今天好倒楣呀	那我可以讓你開心嗎?
唉，今天真倒霉	出什么事儿了？
宝贝不高兴阿	恩啊，家家有本难念的经～～
宝贝怎么了	没有啊，心情不好，好没劲哦
不过我是心情不太好	你怎么啦？告诉我啊
不好呀！	那你为什么心情不好呀！
不脸红吗？	不啊！很自豪啊！呵呵~
不是，不是	别害羞吗！一定是被我猜中了。
不顺心？	嗯
不无聊	不是没事
不无聊吗	还好
不要害羞哟~	人家才没有捏~嘻嘻..
不要模糊两可	我不知道我的心是什么样个感觉啊
不要玩了，心情真的好乱	怎么了，那么不开心
打错字了，我是说你好吗？	嗯嗯，我还不错啦，呵呵
当然的了	我也一样的阿，你现在开心不？
放过我	你被老板k啦
该死	什么情况？
哈，，	这有什么好笑的啦
哈哈啊	有什么好开心的？
哈哈啊哈哈哈哈	什么开心事，说出来听听啊？？？
哈哈哈哈哈哈	很开心吗？可以跟我一起分享啊！
哈哈哈哈哈哈哈	笑什么呢？
哈哦	怎么了？
好啦	嘿嘿，今天过的还好吧，开心吗
好吗	呵呵，好啊，米有问题
好吗？	嗯，可以考虑
和我聊天好玩吗？	好玩啊！
和我聊天开心么？	开心的啊，你呢，开心不
和我聊天快乐吗？	如果时光停止，那么一定是这样的时刻。
和我聊天辛苦吗?	不辛苦!
和我聊天愉快吗	非常地快乐
和我说话有意思吗	当然了，我很喜欢和你讲话
嘿毛呀	怎么了
今天不开心？	为什么不开心啊？我陪你说说话
今天心情特别特殊不好	发生什么事了？
今天心情怎样?	还不错啊。
你别生气	不会啊，我气量很大的。
你不开心？	我？
你不开心吗？	你快乐所以我快乐
你不开心吗？我讲个笑话给你好吗？	好啊，我最喜欢听笑话啦
你不难过吗？	:(我为什么要难过？
你不生气了吗，我们继续聊好吗	我哪里有那么小气，好吧看你的态度那么诚恳，就原谅你一次吧
你不爽啊	没有啊！
你猜我心情好吗	你能告诉我吗
你担心我吗？	当然！
你的心情好吗?	还不错,你呢?
你烦吗	不！做人不要老想着不愉快的事！看开点看得远点！心情会好点！
你烦恼吗？	嗯，是人都会有的啊～
你烦我了吗，老婆	没有啊，我最有耐心了啊
你烦我吗？	从不。
你孤单吗	一个人不孤单，想一个人才孤单！
你孤单么	我不会啊，你呢。
你孤独吗？	当然了，山不孤独，水孤独嘛！
你很悲哀吗？	家穷人丑.一米四九.小學文凭.农村户口.薄田一亩.破屋三間.冷鍋冷灶.老婆沒有.一年四季.药不离口.你说我悲哀不！
你很孤独么？	不孤独因为每天都能认识很多新朋友！
你很开心吗	当然啦 人就是要活得乐观一点的
你很闷吗?我来陪你聊天	好啊~我也是很闷
你很郁闷吗？	不，有你陪我。
你会嫌弃我烦吗	当然不会
你会郁闷吗	你郁闷吗？跟我聊天就不闷了！
你寂寞吗	不寂寞
你寂寞吗？	是有点儿,但有你陪我说话就不会了
你寂寞么	一个人不寂寞，想一个人才寂寞。
你今天的心情好吗	还好啦，不知你是否好？
你今天的心情如何？	我今天的心情蛮不错的
你今天的状态不错	谢谢!你也应该每天保持乐观的状态
